"name1","name2","period","issue_num","p1","p2"
"dalejung","mcobzarenco","20121","686","22","2"
"mcobzarenco","wesm","20121","686","2","022"
"dalejung","wesm","20121","686","22","022"
"ghost","jreback","20130","686","2222012","2202"
"ghost","wesm","20130","686","2222012","22"
"jreback","wesm","20130","686","2202","22"
"twiecki","wesm","20120","689","201","20"
"craustin","wesm","20120","690","1","1"
"jreback","wesm","20120","695","2","2"
"adamklein","kwaxyzzyimoto","20120","704","2","21"
"kwaxyzzyimoto","wesm","20120","704","21","2"
"adamklein","wesm","20120","704","2","2"
"adamklein","jtbates","20120","705","02","1"
"adamklein","james18","20120","707","0222","2"
"takluyver","wesm","20120","711","1","22"
"adamklein","kieranholland","20120","712","1","1"
"adamklein","wesm","20120","713","2","22"
"kieranholland","wesm","20120","713","2","22"
"adamklein","kieranholland","20120","713","2","2"
"adamklein","wesm","20120","714","2","222"
"kieranholland","wesm","20120","714","1","222"
"adamklein","kieranholland","20120","714","2","1"
"adamklein","wesm","20120","715","122","222"
"adamklein","wesm","20120","722","12","0"
"philbigdog","wesm","20120","722","10","0"
"adamklein","philbigdog","20120","722","12","10"
"adamklein","wesm","20120","725","220212","22202"
"adamklein","lodagro","20120","726","2","202"
"adamklein","wesm","20120","726","2","2212"
"lodagro","wesm","20120","726","202","2212"
"rowanu","wesm","20120","730","21","2222"
"mcobzarenco","wesm","20120","734","12","02"
"dieterv77","wesm","20120","735","2222202","2220222"
"lbeltrame","wesm","20120","735","22","2220222"
"CRP","wesm","20120","735","2","2220222"
"CRP","dieterv77","20120","735","2","2222202"
"dieterv77","lbeltrame","20120","735","2222202","22"
"CRP","lbeltrame","20120","735","2","22"
"changhiskhan","timmie","20120","736","2","222222222222"
"timmie","wesm","20120","736","222222222222","222222202"
"changhiskhan","wesm","20120","736","2","222222202"
"timmie","wesm","20121","736","21222","2"
"ispmarin","jreback","20150","736","0","2"
"dragoljub","jreback","20141","739","2","2"
"jorisvandenbossche","toasteez","20161","739","2","2"
"dieterv77","lodagro","20120","741","2","2"
