name1,name2,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,degree1,degree2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
AdamGleave,codecov[bot],1.0,0.0,0.0,0.0,1.0,1.0,7,10328,4,0,0,0,1,4
AdamGleave,dsm054,0.0,0.0,0.0,0.0,1.0,0.0,7,314,0,0,0,0,1,2
AdamGleave,jorisvandenbossche,1.0,0.0,0.0,0.0,1.0,1.0,7,10540,1,0,0,0,1,2
AdamGleave,jreback,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,7,28609,7,0,0,0,3,10
AdamHede,chris-b1,0.0,0.0,0.0,0.0,1.0,1.0,3,1377,0,0,0,0,1,3
AdamHede,jreback,0.0,0.0,0.0,0.0,1.0,1.0,3,28609,0,0,0,0,1,3
AdamHede,pratapvardhan,0.0,0.0,0.0,0.0,1.0,1.0,3,23,0,0,0,0,1,4
AdamShamlian,TheGhostHuCodes,0.0,0.0,0.0,0.0,1.0,1.0,4,2,0,0,0,0,1,3
AdamShamlian,TomAugspurger,0.5,0.0,0.5,0.0,1.0,1.0,4,9311,2,0,2,0,1,4
AdamShamlian,codecov[bot],1.0,0.0,0.0,0.0,1.0,1.0,4,10328,2,0,0,0,1,3
AdamShamlian,jreback,1.0,0.0,0.0,0.0,1.0,1.0,4,28609,1,0,0,0,1,2
Adirio,codecov[bot],0.33,0.0,0.0,0.0,0.33,1.0,7,10328,1,0,0,0,1,4
Adirio,jbrockmendel,0.33,0.0,0.0,0.0,0.33,1.0,7,2663,1,0,0,0,1,4
Adirio,jreback,0.165,0.0,0.0,0.0,0.665,0.5,7,28609,3,0,0,0,2,8
Adirio,mroeschke,0.41500000000000004,0.0,0.0,0.0,0.41500000000000004,1.0,7,1295,2,0,0,0,2,7
Adirio,pep8speaks,0.33,0.0,0.0,0.0,0.33,1.0,7,5120,1,0,0,0,1,4
AdrianTeng,jreback,0.67,0.0,0.0,0.0,1.0,0.6699999999999999,1,28609,2,0,0,0,1,4
Adrienlq,jorisvandenbossche,0.5,0.0,0.0,0.0,1.0,1.0,3,10540,1,0,0,0,1,3
Adrienlq,jreback,1.0,0.0,0.0,0.0,1.0,1.0,3,28609,1,0,0,0,1,2
Adrienlq,pep8speaks,1.0,0.0,0.0,0.0,1.0,1.0,3,5120,1,0,0,0,1,2
Aerlinger,TomAugspurger,0.0,0.0,0.0,0.0,1.0,1.0,2,9311,0,0,0,0,1,2
Aerlinger,jorisvandenbossche,1.0,0.0,1.0,0.0,1.0,1.0,2,10540,1,0,1,0,1,2
AeroWRX,juseg,1.0,0.0,0.0,0.0,1.0,1.0,1,1,1,0,0,0,1,2
Aico,TomAugspurger,0.0,0.0,0.0,0.0,1.0,1.0,6,9311,0,0,0,0,1,3
Aico,erwanp,0.0,0.0,0.0,0.0,1.0,1.0,6,6,0,0,0,0,1,3
Aico,jreback,1.0,0.0,0.0,0.0,1.0,1.0,6,28609,2,0,0,0,1,3
Aico,jrovegno,1.0,0.0,0.0,0.0,1.0,1.0,6,13,2,0,0,0,1,3
Aico,stephenwlin,1.0,0.0,0.0,0.0,1.0,1.0,6,84,6,0,0,0,1,5
Aico,wesm,1.0,0.0,0.0,0.0,1.0,1.0,6,2558,2,0,0,0,1,3
Airatvi,TomAugspurger,0.5,0.0,0.0,0.0,1.0,0.5,3,9311,1,0,0,0,1,3
Airatvi,Yalniza,1.0,0.0,0.0,0.0,1.0,1.0,3,3,1,0,0,0,1,2
Airatvi,plankthom,1.0,0.0,0.0,0.0,1.0,1.0,3,14,1,0,0,0,1,2
Ajeet-Ganga,jreback,1.0,0.0,0.0,0.0,1.0,1.0,1,28609,6,0,0,0,1,5
Ako520,jorisvandenbossche,0.75,0.0,0.0,0.0,1.0,0.75,5,10540,3,0,0,0,1,5
Ako520,megaserg,1.0,0.0,0.0,0.0,1.0,1.0,5,5,1,0,0,0,1,2
Ako520,neo01124,1.0,0.0,0.0,0.0,1.0,1.0,5,5,1,0,0,0,1,2
Ako520,tonyshare,1.0,0.0,0.0,0.0,1.0,1.0,5,5,1,0,0,0,1,2
Ako520,whitequark,1.0,0.0,0.0,0.0,1.0,1.0,5,5,2,0,0,0,1,3
AlJohri,bkasel,0.67,0.0,0.0,0.0,1.0,0.92,4,3,8,0,0,0,1,13
AlJohri,jorisvandenbossche,0.75,0.0,0.0,0.0,1.0,1.0,4,10540,3,0,0,0,1,5
AlJohri,jreback,0.25,0.0,0.0,0.0,1.0,1.0,4,28609,3,0,0,0,2,11
AlbertDeFusco,TomAugspurger,0.5,0.0,0.25,0.0,1.0,1.0,6,9311,2,0,1,0,1,4
AlbertDeFusco,YDD9,1.0,0.0,1.0,0.0,1.0,1.0,6,5,1,0,1,0,1,2
AlbertDeFusco,jorisvandenbossche,0.5,0.0,0.5,0.0,1.0,1.0,6,10540,2,0,2,0,1,5
AlbertDeFusco,jreback,0.0,0.0,0.0,0.0,1.0,1.0,6,28609,0,0,0,0,1,2
AlbertDeFusco,minhouse,0.33,0.0,0.33,0.0,1.0,1.0,6,5,1,0,1,0,1,4
AlbertDeFusco,pcattori,1.0,0.0,1.0,0.0,1.0,1.0,6,5,1,0,1,0,1,2
AlbertRothman,TomAugspurger,0.67,0.0,0.0,0.0,1.0,0.6699999999999999,4,9311,2,0,0,0,1,4
AlbertRothman,fukac99,1.0,0.0,0.0,0.0,1.0,1.0,4,4,1,0,0,0,1,2
