name1,name2,period,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
jreback,seth-p,20140,0.7614285714285715,0.0,0.0,0.0,1.0,0.8571428571428571,40,0,0,0,7,33
jreback,seth-p,20141,0.6156410256410256,0.039230769230769236,0.006666666666666667,0.006923076923076923,0.9435897435897436,0.8356410256410255,704,32,12,15,39,373
jreback,seth-p,20150,0.34714285714285714,0.037142857142857144,0.0,0.037142857142857144,0.7971428571428572,0.6900000000000001,11,3,0,3,7,42
jreback,seth-p,20151,0.8166666666666668,0.0,0.0,0.0,0.965,1.0,39,0,0,0,6,41
jreback,seth-p,20160,0.7333333333333334,0.0,0.0,0.0,1.0,0.7333333333333334,10,0,0,0,3,16
jreback,setjmp,20131,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
jreback,sevaader,20160,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
jreback,sfinkens,20131,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
jreback,sfromm-plm,20171,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,2
jreback,sglyon,20130,0.71,0.0,0.0,0.0,0.71,1.0,5,0,0,0,1,8
jreback,sglyon,20131,0.5,0.0,0.0,0.0,1.0,0.5,2,0,0,0,2,5
jreback,sgsaenger,20161,1.0,0.0,1.0,0.0,1.0,1.0,2,0,2,0,1,3
jreback,sgsaenger,20170,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
jreback,shadiakiki1986,20181,0.0,1.0,0.0,0.0,1.0,0.0,0,2,0,0,1,3
jreback,shadow-identity,20150,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
jreback,shadowleaves,20151,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,3
jreback,shafiquejamal,20141,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,11
jreback,shangyian,20180,0.7625,0.0,0.03,0.0,1.0,0.95,16,0,1,0,4,21
jreback,shangyian,20181,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,shanmuga-cv,20151,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,shantanuo,20180,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
jreback,shantanuo,20181,0.33,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,4
jreback,sharad-vm,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,shashispace,20140,0.2,0.15,0.0,0.05,0.75,0.8,8,6,0,2,1,13
jreback,shastri007,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,shawnheide,20161,0.4033333333333333,0.0,0.028333333333333335,0.0,1.0,0.6666666666666666,11,0,3,0,6,25
jreback,shengpu1126,20181,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
jreback,shenker,20181,0.835,0.0,0.0,0.0,1.0,1.0,6,0,0,0,2,9
jreback,shivam6294,20160,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,shivam6294,20180,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
