"name1","name2","period","issue_num","p1","p2"
"Mailaender","obrakmann","20150","7492","2222","1"
"abcdefg30","obrakmann","20150","7492","2","1"
"ihptru","LipkeGu","20150","7494","22","1"
"blarg227","LipkeGu","20150","7494","1","1"
"blarg227","ihptru","20150","7494","1","22"
"LipkeGu","pchote","20150","7494","1","2"
"ihptru","pchote","20150","7494","22","2"
"blarg227","pchote","20150","7494","1","2"
"Mailaender","reaperrr","20150","7495","1","2"
"penev92","reaperrr","20150","7495","2","2"
"Mailaender","penev92","20150","7495","1","2"
"Computerfreaked","penev92","20150","7496","02","222"
"pchote","penev92","20150","7496","2","222"
"Computerfreaked","pchote","20150","7496","02","2"
"Mailaender","SoScared","20150","7497","2","1"
"LipkeGu","pchote","20150","7498","0","2"
"LipkeGu","pevers","20150","7498","0","02"
"pchote","pevers","20150","7498","2","02"
"penev92","pevers","20150","7498","22","02"
"LipkeGu","penev92","20150","7498","0","22"
"pchote","penev92","20150","7498","2","22"
"penev92","pevers","20150","7499","22","2"
"pevers","reaperrr","20150","7499","2","2"
"penev92","reaperrr","20150","7499","22","2"
"LipkeGu","penev92","20150","7501","2","1"
"Nelax","penev92","20150","7501","21201210","1"
"Mailaender","penev92","20150","7501","11","1"
"obrakmann","penev92","20150","7501","202022","1"
"chrisforbes","penev92","20150","7501","2","1"
"chrisforbes","LipkeGu","20150","7501","2","2"
"LipkeGu","Nelax","20150","7501","2","21201210"
"Mailaender","Nelax","20150","7501","11","21201210"
"chrisforbes","Nelax","20150","7501","2","21201210"
"LipkeGu","Mailaender","20150","7501","2","11"
"chrisforbes","Mailaender","20150","7501","2","11"
"LipkeGu","obrakmann","20150","7501","2","202022"
"Nelax","obrakmann","20150","7501","21201210","202022"
"Mailaender","obrakmann","20150","7501","11","202022"
"chrisforbes","obrakmann","20150","7501","2","202022"
"penev92","SilverlineDev","20150","7501","1","222"
"LipkeGu","SilverlineDev","20150","7501","2","222"
"Nelax","SilverlineDev","20150","7501","21201210","222"
"Mailaender","SilverlineDev","20150","7501","11","222"
"obrakmann","SilverlineDev","20150","7501","202022","222"
"chrisforbes","SilverlineDev","20150","7501","2","222"
"LipkeGu","obrakmann","20150","7502","1","2"
"Mailaender","obrakmann","20151","7502","2","2"
"LipkeGu","Mailaender","20150","7502","1","2"
"epicelite","penev92","20150","7503","20","2222"
"Micr0Bit","penev92","20150","7503","202202222","2222"
"obrakmann","penev92","20150","7503","2","2222"
"kyrylo","penev92","20150","7503","0","2222"
"cjshmyr","penev92","20150","7503","1","2222"
"Nelax","penev92","20150","7503","2","2222"
"pchote","penev92","20150","7503","2","2222"
"cjshmyr","epicelite","20150","7503","1","20"
"epicelite","Micr0Bit","20150","7503","20","202202222"
"kyrylo","Micr0Bit","20150","7503","0","202202222"
"cjshmyr","Micr0Bit","20150","7503","1","202202222"
"epicelite","obrakmann","20150","7503","20","2"
"Micr0Bit","obrakmann","20150","7503","202202222","2"
"kyrylo","obrakmann","20150","7503","0","2"
"cjshmyr","obrakmann","20150","7503","1","2"
"Nelax","obrakmann","20150","7503","2","2"
"epicelite","kyrylo","20150","7503","20","0"
"cjshmyr","kyrylo","20150","7503","1","0"
"penev92","pi99y","20150","7503","2222","21"
"epicelite","pi99y","20150","7503","20","21"
"Micr0Bit","pi99y","20150","7503","202202222","21"
"obrakmann","pi99y","20150","7503","2","21"
"kyrylo","pi99y","20150","7503","0","21"
"cjshmyr","pi99y","20150","7503","1","21"
"Nelax","pi99y","20150","7503","2","21"
"pchote","pi99y","20150","7503","2","21"
"penev92","ScottNZ","20150","7503","2222","22"
"epicelite","ScottNZ","20150","7503","20","22"
"Micr0Bit","ScottNZ","20150","7503","202202222","22"
"obrakmann","ScottNZ","20150","7503","2","22"
"kyrylo","ScottNZ","20150","7503","0","22"
"pi99y","ScottNZ","20150","7503","21","22"
"cjshmyr","ScottNZ","20150","7503","1","22"
"Nelax","ScottNZ","20150","7503","2","22"
"pchote","ScottNZ","20150","7503","2","22"
"epicelite","Nelax","20150","7503","20","2"
"Micr0Bit","Nelax","20150","7503","202202222","2"
"kyrylo","Nelax","20150","7503","0","2"
