"name1","name2","issue_num","p1","p2"
"ellisonbg","fperez","269","02","01"
"ellisonbg","minrk","269","02","2222"
"fperez","minrk","269","01","2222"
"gregglind","minrk","269","22","2222"
"ellisonbg","gregglind","269","02","22"
"fperez","gregglind","269","01","22"
"fperez","takluyver","270","000","2022"
"ellisonbg","takluyver","271","22202","0222"
"fperez","takluyver","271","2222000","0222"
"epatters","takluyver","271","010222","0222"
"minrk","takluyver","271","001","0222"
"ellisonbg","fperez","271","22202","2222000"
"epatters","fperez","271","010222","2222000"
"ellisonbg","epatters","271","22202","010222"
"ellisonbg","minrk","271","22202","001"
"fperez","minrk","271","2222000","001"
"epatters","minrk","271","010222","001"
"fperez","minrk","272","11","1222"
"minrk","takluyver","272","1222","2222"
"fperez","takluyver","272","11","2222"
"fperez","takluyver","273","01211","2222"
"minrk","takluyver","273","2212","2222"
"fperez","minrk","273","01211","2212"
"fperez","minrk","275","0001","2222"
"epatters","Sharpie","276","2","2"
"fperez","Sharpie","276","0","2"
"epatters","takluyver","276","2","2"
"Sharpie","takluyver","276","2","2"
"fperez","takluyver","276","0","2"
"epatters","fperez","276","2","0"
"fperez","juliantaylor","277","1","2"
"fperez","minrk","278","0221","2022"
"brickZA","minrk","279","222","2"
"fperez","minrk","280","011","202222"
"minrk","takluyver","280","202222","1"
"fperez","takluyver","280","011","1"
"rominf","takluyver","280","0","1"
"minrk","rominf","280","202222","0"
"fperez","rominf","280","011","0"
"epatters","fperez","281","01","201"
"fperez","ivanistheone","281","201","2"
"epatters","ivanistheone","281","01","2"
"fperez","minrk","282","10121121","122020"
"minrk","takluyver","282","122020","22222022222222"
"fperez","takluyver","282","10121121","22222022222222"
"fperez","minrk","283","1","1"
"fperez","rkern","284","1","2"
"ivanov","rkern","284","2","2"
"fperez","ivanov","284","1","2"
"rkern","takluyver","284","2","2"
"fperez","takluyver","284","1","2"
"ivanov","takluyver","284","2","2"
"astrofrog","minrk","285","11","220"
"astrofrog","rkern","286","1","22"
"alainS","rkern","286","1","22"
"mhb0925","rkern","286","2","22"
"alainS","astrofrog","286","1","1"
"astrofrog","mhb0925","286","1","2"
"alainS","mhb0925","286","1","2"
"rkern","takluyver","287","22","0222"
"fperez","minrk","289","1","0"
"fperez","takluyver","290","2","222"
"fperez","rkern","291","2","0"
"jasongrout","rkern","291","222","0"
"ellisonbg","rkern","291","22222","0"
"ellisonbg","fperez","291","22222","2"
"fperez","jasongrout","291","2","222"
"ellisonbg","jasongrout","291","22222","222"
"rkern","takluyver","291","0","2"
"fperez","takluyver","291","2","2"
"jasongrout","takluyver","291","222","2"
"ellisonbg","takluyver","291","22222","2"
"rkern","takluyver","292","1","0"
"fperez","takluyver","292","1","0"
"fperez","rkern","292","1","1"
"ellisonbg","rkern","293","1","1"
"fperez","takluyver","294","1","2"
"fperez","takluyver","295","11","2"
"minrk","tdimiduk","296","0","2"
