name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
ghost,nehalecky,2013-04-29,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jtratner,kevindavenport,2013-09-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jreback,kevindavenport,2013-09-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jreback,jtratner,2013-09-02,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ghost,jreback,2014-01-20,3,0,0,0,0.5,0.0,0.0,0.0,5,1,1.0,1.0
lbeltrame,wesm,2011-11-28,8,0,0,0,0.8,0.0,0.0,0.0,7,1,1.0,1.0
lodagro,wesm,2011-11-28,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,1.0
lbeltrame,lodagro,2011-11-28,0,1,0,0,0.0,0.2,0.0,0.0,6,1,1.0,0.0
lodagro,wesm,2011-11-28,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,1.0
jankatins,wesm,2011-12-12,1,0,0,1,0.25,0.0,0.0,0.25,5,1,0.0,0.75
mwiebe,wesm,2011-11-28,8,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
reckoner,wesm,2011-11-28,0,0,0,0,0.0,0.0,0.0,0.0,5,1,1.0,1.0
mwiebe,reckoner,2011-11-28,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
CRP,jreback,2014-02-17,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
sjev,wesm,2011-11-28,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
stig,wesm,2012-01-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2011-12-05,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2011-12-19,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
mattharrison,wesm,2011-12-05,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
CRP,wesm,2011-12-05,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mattharrison,wesm,2011-12-05,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.0,1.0
craustin,wesm,2011-12-05,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
craustin,wesm,2011-12-05,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2011-12-05,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
craustin,lodagro,2011-12-05,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jankatins,wesm,2011-12-05,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
craustin,wesm,2011-12-05,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
