developer1,developer2,ncr_consistent_rate,co_issue_cnt,cmt_cnt1,cmt_cnt2
reaperrr,GeertJohan,0.612,2,2661,9
reaperrr,Robmaister,0.699,9,2661,9
reaperrr,suvjunmd,0.695,4,2661,9
reaperrr,leodew,0.366,3,2661,8
reaperrr,irungentoo,0.672,2,2661,8
reaperrr,samrocketman,0.676,5,2661,8
reaperrr,gardolf,0.881,0,2661,8
reaperrr,godest88,0.269,1,2661,8
reaperrr,viszkoktamas,0.568,4,2661,8
reaperrr,3Lucian,0.579,1,2661,8
reaperrr,ryanehlol,0.676,0,2661,8
reaperrr,fruestueck,0.579,1,2661,8
reaperrr,nicefive,0.47,3,2661,8
reaperrr,anvilvapre,0.377,2,2661,8
reaperrr,hartmark,0.579,3,2661,8
reaperrr,dufresnep,0.269,1,2661,8
reaperrr,salvadorc17,0.78,4,2661,8
reaperrr,Zogg,0.643,2,2661,7
reaperrr,riiga,0.761,3,2661,7
reaperrr,SzabKel,0.531,4,2661,7
reaperrr,Hanzik,0.762,1,2661,7
reaperrr,noobmapmaker,0.301,3,2661,7
reaperrr,grafviktor,0.177,2,2661,7
reaperrr,Marnador,0.651,3,2661,7
reaperrr,pizzaoverhead,0.881,5,2661,7
reaperrr,Marty,0.527,1,2661,7
reaperrr,Arular101,0.762,1,2661,7
reaperrr,Aquilar,0.766,0,2661,7
reaperrr,krisradio,0.527,4,2661,7
