name1,name2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2,degree1,degree2
ncteisen,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.942,0.908,916,1236
ctiller,grpc-kokoro,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.945,0.487,3377,3106
grpc-kokoro,matt-kwong,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.487,0.93,3106,495
ctiller,matt-kwong,1,0,1,0,0.5,0.0,0.5,0.0,3,1,0.945,0.93,3377,495
grpc-kokoro,matt-kwong,12,0,0,0,1.0,0.0,0.0,0.0,8,1,0.487,0.93,3106,495
grpc-kokoro,matt-kwong,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.93,3106,495
apolcyn,nathanielmanistaatgoogle,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.923,0.875,1286,2027
ctiller,grpc-kokoro,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.945,0.487,3377,3106
grpc-kokoro,ncteisen,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.487,0.942,3106,916
ctiller,ncteisen,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.945,0.942,3377,916
grpc-kokoro,kpayson64,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.96,3106,952
grpc-kokoro,ncteisen,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.942,3106,916
ncteisen,yongni,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.942,0.815,916,22
grpc-kokoro,yongni,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.487,0.815,3106,22
Linerd,nathanielmanistaatgoogle,6,0,0,0,1.0,0.0,0.0,0.0,5,1,0.0,0.875,1,2027
ejona86,nathanielmanistaatgoogle,3,0,0,0,0.75,0.0,0.0,0.0,5,1,0.925,0.875,392,2027
kpayson64,nathanielmanistaatgoogle,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.96,0.875,952,2027
nathanielmanistaatgoogle,Slonegg,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.875,1.0,2027,3
ejona86,Slonegg,0,2,0,0,0.0,0.25,0.0,0.0,6,1,0.925,1.0,392,3
kpayson64,Slonegg,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.96,1.0,952,3
ejona86,kpayson64,3,0,0,0,0.75,0.0,0.0,0.0,5,1,0.925,0.96,392,952
coryan,nicolasnoble,8,0,0,0,0.5,0.0,0.0,0.0,8,1,0.696,0.935,25,2472
jozefizso,nicolasnoble,2,0,0,0,0.5,0.0,0.0,0.0,5,1,0.857,0.935,18,2472
coryan,jozefizso,4,0,0,0,1.0,0.0,0.0,0.0,5,1,0.696,0.857,25,18
grpc-kokoro,grpc-testing,54,0,54,0,1.0,0.0,1.0,0.0,15,1,0.487,0.953,3106,3628
dgquintas,grpc-testing,0,0,0,0,0.0,0.0,0.0,0.0,10,1,0.899,0.953,1753,3628
dgquintas,grpc-kokoro,0,0,0,0,0.0,0.0,0.0,0.0,7,1,0.899,0.487,1753,3106
grpc-testing,KindDragon,0,0,0,0,0.0,0.0,0.0,0.0,12,1,0.953,0.882,3628,22
grpc-kokoro,KindDragon,0,0,0,0,0.0,0.0,0.0,0.0,9,1,0.487,0.882,3106,22
dgquintas,KindDragon,3,0,0,0,1.0,0.0,0.0,0.0,4,1,0.899,0.882,1753,22
jtattermusch,KindDragon,3,0,0,0,1.0,0.0,0.0,0.0,4,1,0.94,0.882,4490,22
grpc-testing,jtattermusch,0,0,0,0,0.0,0.0,0.0,0.0,10,1,0.953,0.94,3628,4490
grpc-kokoro,jtattermusch,0,0,0,0,0.0,0.0,0.0,0.0,7,1,0.487,0.94,3106,4490
dgquintas,jtattermusch,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.899,0.94,1753,4490
grpc-kokoro,grpc-testing,42,0,42,0,1.0,0.0,1.0,0.0,13,1,0.487,0.953,3106,3628
googlebot,grpc-testing,7,0,7,0,0.5,0.0,0.5,0.0,9,1,0.368,0.953,1379,3628
googlebot,grpc-kokoro,6,0,6,0,0.5,0.0,0.5,0.0,8,1,0.368,0.487,1379,3106
grpc-testing,smulikHakipod,7,0,7,0,1.0,0.0,1.0,0.0,8,1,0.953,0.5,3628,6
grpc-kokoro,smulikHakipod,6,0,6,0,1.0,0.0,1.0,0.0,7,1,0.487,0.5,3106,6
googlebot,smulikHakipod,1,0,1,0,0.5,0.0,0.5,0.0,3,1,0.368,0.5,1379,6
grpc-kokoro,grpc-testing,45,0,45,0,1.0,0.0,1.0,0.0,14,1,0.487,0.953,3106,3628
grpc-kokoro,murgatroid99,0,0,0,0,0.0,0.0,0.0,0.0,7,1,0.487,0.968,3106,2107
grpc-testing,murgatroid99,0,0,0,0,0.0,0.0,0.0,0.0,11,1,0.953,0.968,3628,2107
grpc-kokoro,smulikHakipod,0,0,0,0,0.0,0.0,0.0,0.0,6,1,0.487,0.5,3106,6
