name,year_week,issue_num,label
ellisonbg,201116,389,122
minrk,201116,389,2
mhoffman,201134,390,2
jagguli,201323,390,22
minrk,201115,391,1
takluyver,201116,392,0221221
rspeer,201116,392,2
Rogacz,201116,392,21
minrk,201116,392,01
fperez,201116,392,1
cdeboever3,201117,392,01
takluyver,201117,392,2
minrk,201117,392,2
gdesjardins,201120,392,1
takluyver,201120,392,2
minrk,201116,393,12
takluyver,201116,393,22
takluyver,201117,393,2
minrk,201117,393,2
takluyver,201116,394,22
lebigot,201116,394,1
minrk,201116,395,2211
eteq,201116,395,0022
fperez,201148,395,21
eteq,201148,395,2
panyam,20125,395,00
eteq,20125,395,00
Carreau,201629,395,1
takluyver,201116,396,2
rth,201117,396,0
ellisonbg,201116,397,2022
minrk,201116,397,002
ellisonbg,201117,397,02
minrk,201117,397,22
ellisonbg,201116,398,2
minrk,201119,398,2202
ellisonbg,201119,398,00202
ellisonbg,201120,398,2
minrk,201116,399,0
rkern,201116,400,20
ellisonbg,201116,400,0
minrk,201116,400,0
minrk,201118,400,02
rkern,201118,400,02
ellisonbg,201118,400,22
minrk,201119,400,20202022222
ellisonbg,201119,400,22121022
rkern,201119,400,2
minrk,201117,401,0
kaazoo,201118,401,2
minrk,201118,401,0
kaazoo,201122,401,2
takluyver,201117,402,2
epatters,201117,402,0
ellisonbg,201117,402,2
takluyver,201118,402,22
takluyver,201119,402,2
rkern,201117,403,0
minrk,201117,403,22
bashseb,201117,403,1
ivanov,201720,403,1
takluyver,201120,404,2
claytron,20121,404,22
takluyver,20121,404,2
Carreau,201424,404,2
rkern,201117,405,2
minrk,201117,405,22
jfkw,201117,405,1
ellisonbg,201118,405,2
jfkw,201118,405,1
epatters,201117,406,1
fperez,201118,407,1
rkern,201118,408,1
epatters,201118,408,21
takluyver,201118,408,12
ellisonbg,201118,408,2
minrk,201119,408,1
takluyver,201119,408,22
ellisonbg,201119,408,2
ellisonbg,201118,410,12
minrk,201118,411,22
kaazoo,201118,411,1
minrk,201118,412,2
kaazoo,201118,412,1
minrk,201118,413,2222
