name,year_week,issue_num,label
Phrohdoh,20162,7604,22
abcdefg30,20162,7604,2
GraionDilach,20162,7604,2
deniz1a,201510,7605,2
Mailaender,201510,7605,2
abcdefg30,201510,7605,2
Snurre86,201510,7605,2221222
ScottNZ,201510,7605,2220
Micr0Bit,201510,7605,0
akhilman,201649,7605,2
Snurre86,201712,7605,22
akhilman,201712,7605,2
Micr0Bit,201712,7605,0
MustaphaTR,201712,7605,2
Smittytron,20187,7605,2
Mailaender,201510,7606,2
Phrohdoh,201510,7606,22
Mailaender,201510,7607,2
Mailaender,201512,7607,2
obrakmann,201512,7607,2
Mailaender,201513,7607,2
Mailaender,201510,7608,2
obrakmann,201510,7608,1
pchote,201512,7608,2
obrakmann,201512,7608,2
pchote,201510,7609,2
Mailaender,201510,7609,22
Mailaender,201525,7609,22
Rydra,201510,7610,2
penev92,201510,7611,2222
Phrohdoh,201510,7611,2
pchote,201510,7611,0
pchote,201510,7612,2
kyrreso,201510,7612,2222
penev92,201510,7612,22
Mailaender,201510,7612,02
pchote,201547,7612,2
Phrohdoh,201510,7613,2
deniz1a,201510,7614,2
pchote,201627,7614,2
Mailaender,201510,7615,2
obrakmann,201510,7616,22
abcdefg30,201510,7616,2
penev92,201510,7616,2
RoosterDragon,201511,7617,2
Phrohdoh,201511,7617,2
obrakmann,201510,7618,2
Rydra,201510,7618,0
Micr0Bit,201510,7618,2
Rydra,201511,7618,22201202212
pchote,201511,7618,2
Micr0Bit,201511,7618,211
RoosterDragon,201511,7618,22222
penev92,201511,7618,0022000
Mailaender,201510,7619,222
pchote,201510,7619,2
reaperrr,201510,7619,2
LipkeGu,201511,7619,222
pchote,201511,7619,2
penev92,201511,7619,2
Mailaender,201511,7619,0
abcdefg30,201511,7619,2
reaperrr,201512,7619,0
Mailaender,201510,7620,2
PanzerFurrry,201510,7620,2
penev92,201511,7621,2
Micr0Bit,201511,7621,0
Mailaender,201510,7622,22
fiesh,201510,7622,2
jabbink,201511,7622,0
pchote,201511,7622,222
fiesh,201511,7622,222
chrisforbes,201511,7622,22
Mailaender,201511,7622,20
UserHAL9000,201521,7622,21
Mailaender,201521,7622,2
Mailaender,201527,7622,0
Mailaender,201530,7622,222
pchote,201530,7622,2
LipkeGu,201549,7622,2
Mailaender,201549,7622,2
Mailaender,201552,7622,2
pchote,201615,7622,2
Micr0Bit,201510,7623,1
obrakmann,201511,7623,22
cjshmyr,201511,7623,2
TheRaffy,201511,7623,2
Mailaender,201512,7623,12
Micr0Bit,201510,7624,2
penev92,201511,7624,2
Mailaender,201512,7624,2
penev92,201512,7624,2
LipkeGu,201521,7624,2
Snurre86,201522,7624,2
clemty,201510,7625,2
TGHoly,201510,7625,2
pchote,201510,7626,22
Mailaender,201510,7626,0
reaperrr,201511,7626,2
LipkeGu,201511,7626,2
Mailaender,201511,7626,22
pchote,201511,7626,222
reaperrr,201512,7626,2
obrakmann,201512,7626,2
Mailaender,201512,7626,2
Mailaender,201523,7627,2
pchote,201511,7628,2
penev92,201511,7629,20
MunWolf,201511,7629,1
deniz1a,201511,7629,0
Phrohdoh,201511,7629,2
pchote,201511,7629,2
Mailaender,201511,7629,2
obrakmann,201512,7629,2
penev92,201512,7629,1
obrakmann,201511,7630,22
Rydra,201511,7630,022
RoosterDragon,201511,7630,2
obrakmann,201512,7630,2
Phrohdoh,201511,7631,2
reaperrr,201511,7631,2
