name1,name2,period,issue_num,p1,p2
"LisaFC","wilsonwen","20150","741","2","22"
"nicolasnoble","x1957","20150","742","2","22"
"methane","nathanielmanistaatgoogle","20150","757","0","0"
"ctiller","nathanielmanistaatgoogle","20150","758","022","222"
"donnadionne","googlebot","20150","777","2","1"
"ctiller","vjpai","20150","782","2","2"
"stanley-cheung","tbetbetbe","20150","796","2","22"
"ctiller","jboeuf","20150","801","20","21"
"ctiller","murgatroid99","20150","803","2","2"
"ctiller","jayantkolhe","20150","807","2","2"
"ctiller","yang-g","20150","817","22","222"
"ctiller","mugurm","20150","823","2","222"
"jtattermusch","mugurm","20150","823","2","222"
"craigcitro","mugurm","20150","823","22","222"
"jayantkolhe","mugurm","20150","823","0","222"
"craigcitro","ctiller","20150","823","22","2"
"mugurm","nathanielmanistaatgoogle","20150","823","222","22"
"ctiller","nathanielmanistaatgoogle","20150","823","2","22"
"jtattermusch","nathanielmanistaatgoogle","20150","823","2","22"
"craigcitro","nathanielmanistaatgoogle","20150","823","22","22"
"jayantkolhe","nathanielmanistaatgoogle","20150","823","0","22"
"ctiller","jtattermusch","20150","823","2","2"
"craigcitro","jtattermusch","20150","823","22","2"
"jayantkolhe","jtattermusch","20150","823","0","2"
"ctiller","jayantkolhe","20150","823","2","0"
"craigcitro","jayantkolhe","20150","823","22","0"
"nathanielmanistaatgoogle","soltanmm","20150","830","22","2"
"ctiller","vjpai","20150","833","1","22"
"ctiller","nathanielmanistaatgoogle","20150","834","2220","22"
"ejona86","nathanielmanistaatgoogle","20150","834","02","22"
"ctiller","ejona86","20150","834","2220","02"
"ctiller","nicolasnoble","20150","835","2222","2"
"nathanielmanistaatgoogle","nicolasnoble","20150","835","2","2"
"ctiller","nathanielmanistaatgoogle","20150","835","2222","2"
"ctiller","vjpai","20150","837","2","222"
"ctiller","yang-g","20150","838","2","2"
"haberman","nathanielmanistaatgoogle","20150","841","2","2"
"googlebot","Orphis","20150","845","11","1"
"ctiller","googlebot","20150","846","2","212"
"googlebot","nicolasnoble","20150","846","212","2"
"ctiller","nicolasnoble","20150","846","2","2"
"murgatroid99","Rican7","20150","851","2","2"
"jtattermusch","nicolasnoble","20150","852","2","2"
"ctiller","googlebot","20150","853","2","2"
"ctiller","nicolasnoble","20150","854","2222","22"
"jboeuf","nicolasnoble","20150","854","22","22"
"ctiller","jboeuf","20150","854","2222","22"
"ctiller","vjpai","20150","856","22222","2102222"
"nicolasnoble","vjpai","20150","856","22","2102222"
"ctiller","nicolasnoble","20150","856","22222","22"
"googlebot","nicolasnoble","20150","859","2","2"
"ctiller","nicolasnoble","20150","865","222","2221"
"jtattermusch","nathanielmanistaatgoogle","20150","866","2","222"
"nathanielmanistaatgoogle","soltanmm","20150","866","222","2"
"jtattermusch","soltanmm","20150","866","2","2"
"nicolasnoble","ryanseys","20150","868","12","1"
"ctiller","nicolasnoble","20150","870","2","2"
"ctiller","vjpai","20150","872","222","222"
"ctiller","googlebot","20150","876","1","2"
"googlebot","jtattermusch","20150","876","2","2"
"ctiller","jtattermusch","20150","876","1","2"
"nicolasnoble","yang-g","20151","877","2","22"
"donnadionne","googlebot","20150","885","2","1"
"ctiller","nicolasnoble","20150","886","22","2"
"jtattermusch","nicolasnoble","20150","890","02","1"
"nicolasnoble","w359405949","20150","890","1","2"
"jtattermusch","w359405949","20150","890","02","2"
"jtattermusch","Thaina","20171","890","2","2"
"iamqizhao","proppy","20150","892","22","2"
"ctiller","nicolasnoble","20150","893","1","2"
"elfring","nicolasnoble","20150","893","1","2"
"ctiller","elfring","20150","893","1","1"
"mattn","tbetbetbe","20150","894","20","21"
"bontibon","nbeckman","20150","899","0","1"
"jayantkolhe","kianooshm","20151","899","2","2"
"a11r","kianooshm","20151","899","2","2"
"a11r","jayantkolhe","20151","899","2","2"
"ctiller","googlebot","20150","902","11","11"
"bjornxiong","googlebot","20150","902","2","11"
"bjornxiong","ctiller","20150","902","2","11"
"ctiller","w359405949","20150","903","22","2"
"jrick","jtattermusch","20150","905","20222212012","222221"
"jtattermusch","zeroxenof","20150","905","222221","2"
"jrick","zeroxenof","20150","905","20222212012","2"
"nicolasnoble","zeroxenof","20150","905","221211","2"
"jtattermusch","nicolasnoble","20150","905","222221","221211"
"jrick","nicolasnoble","20150","905","20222212012","221211"
"degloff","jtattermusch","20151","905","122","22"
"degloff","nickdul","20151","905","122","2"
"jtattermusch","nickdul","20151","905","22","2"
"ctiller","jboeuf","20150","908","2","1"
"ctiller","vjpai","20150","920","2","2"
"ctiller","murgatroid99","20150","921","222","2"
"ctiller","nicolasnoble","20150","924","2","22"
"ctiller","nicolasnoble","20150","925","2","121"
"LisaFC","nathanielmanistaatgoogle","20150","926","222","22"
"LisaFC","soltanmm","20151","926","2","2"
"jcanizales","nathanielmanistaatgoogle","20160","926","2","2"
"googlebot","jerub","20150","927","1","2"
"googlebot","nathanielmanistaatgoogle","20150","927","1","1"
"jerub","nathanielmanistaatgoogle","20150","927","2","1"
"googlebot","nicolasnoble","20150","927","1","1"
"jerub","nicolasnoble","20150","927","2","1"
"nathanielmanistaatgoogle","nicolasnoble","20150","927","1","1"
"ctiller","jboeuf","20150","933","21","11"
"ctiller","nicolasnoble","20150","935","212","22"
"nathanielmanistaatgoogle","nicolasnoble","20150","935","21","22"
"ctiller","nathanielmanistaatgoogle","20150","935","212","21"
"jgeewax","nathanielmanistaatgoogle","20150","936","1","2222"
"nathanielmanistaatgoogle","soltanmm","20150","936","2222","20"
"jgeewax","soltanmm","20150","936","1","20"
"ppg","soltanmm","20151","936","2","2"
"jvmlet","mingyue-aai","20181","937","2","2"
"dsazonoff","santoch","20190","937","2","2"
"donnadionne","jtattermusch","20150","938","2","2"
"googlebot","jtattermusch","20150","940","1","1"
"jonywtf","murgatroid99","20150","941","1","2"
"isaiah","nicolasnoble","20150","942","220","220"
"ctiller","murgatroid99","20151","944","12","2"
"ctiller","tbetbetbe","20151","945","11","22"
"ctiller","mkustermann","20150","946","2","2"
"ctiller","vjpai","20150","946","2","21"
"mkustermann","vjpai","20150","946","2","21"
"mikepb","vjpai","20151","946","22","0"
"a11r","rauls5382","20150","951","21","2"
"dklempner","googlebot","20150","953","2","1"
"ctiller","vjpai","20150","960","2","2"
"googlebot","jtattermusch","20150","961","1","2"
"nathanielmanistaatgoogle","soltanmm","20150","965","2","22"
"nathanielmanistaatgoogle","sahlberg","20150","966","12","22"
"nicolasnoble","sahlberg","20150","966","1","22"
"nathanielmanistaatgoogle","nicolasnoble","20150","966","12","1"
"sahlberg","soltanmm","20150","966","22","2"
"nathanielmanistaatgoogle","soltanmm","20150","966","12","2"
"nicolasnoble","soltanmm","20150","966","1","2"
"ctiller","ghost","20150","967","1","0"
"ctiller","soltanmm","20151","969","2","22"
"murgatroid99","nicolasnoble","20151","970","2","02"
"murgatroid99","soltanmm","20151","970","2","2"
"nicolasnoble","soltanmm","20151","970","02","2"
"donnadionne","googlebot","20150","972","1","1"
"ctiller","dklempner","20150","975","0","2202"
"googlebot","sahlberg","20150","976","11","2"
"ctiller","dklempner","20150","980","22222","02"
"ctiller","vjpai","20150","980","22222","2"
"dklempner","vjpai","20150","980","02","2"
"nicolasnoble","sahlberg","20150","981","1","2"
"amyznikov","Harshasa","20150","985","2","2"
"Harshasa","vjpai","20150","985","2","2122"
"maxhawkins","vjpai","20150","985","222212","2122"
"amyznikov","vjpai","20150","985","2","2122"
"Harshasa","maxhawkins","20150","985","2","222212"
"amyznikov","maxhawkins","20150","985","2","222212"
"Harshasa","yang-g","20150","985","2","21"
"vjpai","yang-g","20150","985","2122","21"
"maxhawkins","yang-g","20150","985","222212","21"
"amyznikov","yang-g","20150","985","2","21"
"jcanizales","jpcummins","20150","986","2","22"
"jpcummins","murgatroid99","20150","986","22","2"
"jcanizales","murgatroid99","20150","986","2","2"
"nicolasnoble","vjpai","20150","987","1","11"
