name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
obrakmann,pchote,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Mailaender,pchote,2015-02-09,4,0,0,0,0.67,0.0,0.0,0.0,5,1,1.0,1.0
ihptru,Mailaender,2015-02-09,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
ghost,SoScared,2015-02-16,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Mailaender,pchote,2015-02-09,8,0,0,0,0.67,0.0,0.0,0.0,7,1,1.0,0.6699999999999999
obrakmann,pchote,2015-02-09,6,0,0,0,0.67,0.0,0.0,0.0,6,1,1.0,0.6699999999999999
Mailaender,obrakmann,2015-02-09,12,0,0,0,1.0,0.0,0.0,0.0,7,1,1.0,1.0
Mailaender,Nelax,2015-02-09,6,0,0,0,1.0,0.0,0.0,0.0,7,1,1.0,1.0
Mailaender,pchote,2015-02-09,24,0,0,0,1.0,0.0,0.0,0.0,10,1,1.0,1.0
Nelax,pchote,2015-02-09,4,0,0,0,1.0,0.0,0.0,0.0,5,1,1.0,1.0
Mailaender,pchote,2015-02-16,9,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
obrakmann,pchote,2015-02-16,0,0,0,0,0.0,0.0,0.0,0.0,5,1,0.5,1.0
pchote,reaperrr,2015-02-16,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Mailaender,reaperrr,2015-02-16,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
obrakmann,reaperrr,2015-02-16,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.5,1.0
Mailaender,obrakmann,2015-02-16,0,0,0,0,0.0,0.0,0.0,0.0,5,1,1.0,0.5
abcdefg30,Mailaender,2015-02-16,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Phrohdoh,Smith00101010,2015-02-09,5,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
Mailaender,Smith00101010,2015-02-09,15,0,0,0,1.0,0.0,0.0,0.0,8,1,1.0,1.0
obrakmann,Smith00101010,2015-02-09,5,0,0,0,0.5,0.0,0.0,0.0,7,1,0.5,1.0
Mailaender,Phrohdoh,2015-02-09,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
obrakmann,Phrohdoh,2015-02-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,0.5,1.0
Mailaender,obrakmann,2015-02-09,3,0,0,0,0.5,0.0,0.0,0.0,5,1,1.0,0.5
pchote,Smith00101010,2015-03-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Mailaender,Smith00101010,2015-03-23,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
abcdefg30,Smith00101010,2015-04-13,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
obrakmann,Smith00101010,2015-04-13,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
abcdefg30,obrakmann,2015-04-13,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
GeertJohan,Unit158,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ihptru,Unit158,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,1.0
LipkeGu,Unit158,2015-02-09,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
GeertJohan,ihptru,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
GeertJohan,LipkeGu,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ihptru,LipkeGu,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
cjshmyr,MustaphaTR,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
MustaphaTR,Unit158,2015-02-09,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
cjshmyr,Unit158,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Phrohdoh,Unit158,2015-02-09,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
